date,sp500,ir3m,ir10y,vix,gdp,cpi,date_yyyymmdd
2003-09-30,995.969970703125,0.9259999990463257,3.937000036239624,22.719999313354492,14988.782,185.1,20030930
2003-10-31,1050.7099609375,0.9319999814033508,4.301000118255615,16.100000381469727,15162.76,184.9,20031031
2003-11-30,1058.199951171875,0.9079999923706055,4.320000171661377,16.31999969482422,15162.76,185.0,20031130
2003-12-31,1111.9200439453125,0.9070000052452087,4.256999969482422,18.309999465942383,15162.76,185.5,20031231
2004-01-31,1131.1300048828125,0.8970000147819519,4.138000011444092,16.6299991607666,15248.68,186.3,20040131
2004-02-29,1144.93994140625,0.9269999861717224,3.9839999675750732,14.550000190734863,15248.68,186.7,20040229
2004-03-31,1126.2099609375,0.9229999780654907,3.8369998931884766,16.739999771118164,15248.68,187.1,20040331
2004-04-30,1107.300048828125,0.9520000219345093,4.500999927520752,17.190000534057617,15366.85,187.4,20040430
2004-05-31,1120.6800537109375,1.0520000457763672,4.65500020980835,15.5,15366.85,188.2,20040531
2004-06-30,1140.8399658203125,1.3029999732971191,4.617000102996826,14.34000015258789,15366.85,188.9,20040630
2004-07-31,1101.719970703125,1.4119999408721924,4.474999904632568,15.319999694824219,15512.619,189.1,20040731
2004-08-31,1104.239990234375,1.5679999589920044,4.131999969482422,15.289999961853027,15512.619,189.2,20040831
2004-09-30,1114.5799560546875,1.6740000247955322,4.11899995803833,13.34000015258789,15512.619,189.8,20040930
2004-10-31,1130.199951171875,1.8669999837875366,4.0289998054504395,16.270000457763672,15670.88,190.8,20041031
2004-11-30,1173.8199462890625,2.181999921798706,4.357999801635742,13.239999771118164,15670.88,191.7,20041130
2004-12-31,1211.9200439453125,2.181999921798706,4.216000080108643,13.289999961853027,15670.88,191.7,20041231
2005-01-31,1181.27001953125,2.421999931335449,4.132999897003174,12.819999694824219,15844.727,191.6,20050131
2005-02-28,1203.5999755859375,2.690000057220459,4.359000205993652,12.079999923706055,15844.727,192.4,20050228
2005-03-31,1180.5899658203125,2.7219998836517334,4.495999813079834,14.020000457763672,15844.727,193.1,20050331
2005-04-30,1156.8499755859375,2.8369998931884766,4.201000213623047,15.3100004196167,15922.782,193.7,20050430
2005-05-31,1191.5,2.881999969482422,4.00600004196167,13.289999961853027,15922.782,193.6,20050531
2005-06-30,1191.3299560546875,3.059999942779541,3.944999933242798,12.039999961853027,15922.782,193.7,20050630
2005-07-31,1234.1800537109375,3.3320000171661377,4.285999774932861,11.569999694824219,16047.587,194.9,20050731
2005-08-31,1220.3299560546875,3.430000066757202,4.019999980926514,12.600000381469727,16047.587,196.1,20050831
2005-09-30,1228.81005859375,3.4700000286102295,4.328000068664551,11.920000076293945,16047.587,198.8,20050930
2005-10-31,1207.010009765625,3.805000066757202,4.559000015258789,15.319999694824219,16136.734,199.1,20051031
2005-11-30,1249.47998046875,3.8570001125335693,4.5,12.0600004196167,16136.734,198.1,20051130
2005-12-31,1248.2900390625,3.984999895095825,4.394999980926514,12.069999694824219,16136.734,198.1,20051231
2006-01-31,1280.0799560546875,4.369999885559082,4.5269999504089355,12.949999809265137,16353.835,199.3,20060131
2006-02-28,1280.6600341796875,4.506999969482422,4.546999931335449,12.34000015258789,16353.835,199.4,20060228
2006-03-31,1294.8699951171875,4.514999866485596,4.853000164031982,11.390000343322754,16353.835,199.7,20060331
2006-04-30,1310.6099853515625,4.650000095367432,5.068999767303467,11.59000015258789,16396.151,200.7,20060430
2006-05-31,1270.0899658203125,4.715000152587891,5.11299991607666,16.440000534057617,16396.151,201.3,20060531
2006-06-30,1270.199951171875,4.860000133514404,5.138000011444092,13.079999923706055,16396.151,201.8,20060630
2006-07-31,1276.6600341796875,4.934999942779541,4.98799991607666,14.949999809265137,16420.738,202.9,20060731
2006-08-31,1303.8199462890625,4.90500020980835,4.73199987411499,12.3100004196167,16420.738,203.8,20060831
2006-09-30,1335.8499755859375,4.760000228881836,4.632999897003174,11.979999542236328,16420.738,202.8,20060930
2006-10-31,1377.93994140625,4.940000057220459,4.605999946594238,11.100000381469727,16561.866,201.9,20061031
2006-11-30,1400.6300048828125,4.889999866485596,4.458000183105469,10.90999984741211,16561.866,202.0,20061130
2006-12-31,1418.300048828125,4.885000228881836,4.710000038146973,11.5600004196167,16561.866,203.1,20061231
2007-01-31,1438.239990234375,4.974999904632568,4.826000213623047,10.420000076293945,16611.69,203.437,20070131
2007-02-28,1406.8199462890625,4.994999885559082,4.550000190734863,15.420000076293945,16611.69,204.226,20070228
2007-03-31,1420.8599853515625,4.894999980926514,4.6479997634887695,14.640000343322754,16611.69,205.288,20070331
2007-04-30,1482.3699951171875,4.724999904632568,4.630000114440918,14.220000267028809,16713.314,205.904,20070430
2007-05-31,1530.6199951171875,4.590000152587891,4.889999866485596,13.050000190734863,16713.314,206.755,20070531
2007-06-30,1503.3499755859375,4.670000076293945,5.0329999923706055,16.229999542236328,16713.314,207.234,20070630
2007-07-31,1455.27001953125,4.809999942779541,4.770999908447266,23.520000457763672,16809.587,207.603,20070731
2007-08-31,1473.989990234375,3.990000009536743,4.5370001792907715,23.3799991607666,16809.587,207.667,20070831
2007-09-30,1526.75,3.700000047683716,4.578999996185303,18.0,16809.587,208.547,20070930
2007-10-31,1549.3800048828125,3.819999933242798,4.474999904632568,18.530000686645508,16915.191,209.19,20071031
2007-11-30,1481.1400146484375,3.069999933242798,3.9719998836517334,22.8700008392334,16915.191,210.834,20071130
2007-12-31,1468.3599853515625,3.140000104904175,4.034999847412109,22.5,16915.191,211.445,20071231
2008-01-31,1378.550048828125,1.8700000047683716,3.6389999389648438,26.200000762939453,16843.003,212.174,20080131
2008-02-29,1330.6300048828125,1.784999966621399,3.5339999198913574,26.540000915527344,16843.003,212.687,20080229
2008-03-31,1322.699951171875,1.274999976158142,3.431999921798706,25.610000610351562,16843.003,213.448,20080331
2008-04-30,1385.5899658203125,1.340000033378601,3.759000062942505,20.790000915527344,16943.291,213.942,20080430
2008-05-31,1400.3800048828125,1.850000023841858,4.046000003814697,17.829999923706055,16943.291,215.208,20080531
2008-06-30,1280.0,1.7050000429153442,3.9790000915527344,23.950000762939453,16943.291,217.463,20080630
2008-07-31,1267.3800048828125,1.6349999904632568,3.9790000915527344,22.940000534057617,16854.295,219.016,20080731
2008-08-31,1282.8299560546875,1.690000057220459,3.812999963760376,20.649999618530273,16854.295,218.69,20080831
2008-09-30,1166.3599853515625,0.8999999761581421,3.8269999027252197,39.38999938964844,16854.295,218.877,20080930
2008-10-31,968.75,0.4350000023841858,3.9700000286102295,59.88999938964844,16485.35,216.995,20081031
2008-11-30,896.239990234375,0.019999999552965164,2.9570000171661377,55.279998779296875,16485.35,213.153,20081130
2008-12-31,903.25,0.11500000208616257,2.24399995803833,40.0,16485.35,211.398,20081231
2009-01-31,825.8800048828125,0.2199999988079071,2.8440001010894775,44.84000015258789,16298.262,211.933,20090131
2009-02-28,735.0900268554688,0.25,3.0409998893737793,46.349998474121094,16298.262,212.705,20090228
2009-03-31,797.8699951171875,0.20000000298023224,2.684999942779541,44.13999938964844,16298.262,212.495,20090331
2009-04-30,872.8099975585938,0.125,3.124000072479248,36.5,16269.145,212.709,20090430
2009-05-31,919.1400146484375,0.12999999523162842,3.4649999141693115,28.920000076293945,16269.145,213.022,20090531
2009-06-30,919.3200073242188,0.18000000715255737,3.5230000019073486,26.350000381469727,16269.145,214.79,20090630
2009-07-31,987.47998046875,0.17499999701976776,3.500999927520752,25.920000076293945,16326.281,214.726,20090731
2009-08-31,1020.6199951171875,0.12999999523162842,3.4010000228881836,26.010000228881836,16326.281,215.445,20090831
2009-09-30,1057.0799560546875,0.11500000208616257,3.306999921798706,25.610000610351562,16326.281,215.861,20090930
